🍊 高清收藏 ,#genre#
深圳都市频道1080,rtsp://183.59.160.61/PLTV/88888895/224/3221228036/10000100000000060000000007005128_0.smil?rrsip=125.88.70.140,rrsip=125.88.104.45&zoneoffset=480&icpid=szmg&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=%7E%7EV2.0%7E8ASLU1D8aOzxceBqia4tyA%7EDG9YgNw6cK1gDQ3-hXKPnarr9EtNfUL8qul-aNDqx20swQaWaPoEC-TzStHl7nX8BN1n-uRS7UYBlauZimVWd_U3FSBkDLPC1L-Nwq3K3dc~ExtInfoWNHSPSTb+3AG0FnUkYLPMw==%3A20210403030623%2C16020325%2C113.118.85.150%2C20210403030623%2C31000100000000050000000000440672%2C1602032520210403030623%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2OwQ6CMAyG32bHhQlMOeyEMTEx8wB6NXUrSCgwNzDx7QXk1vb7v_QfPRg8H1U_EbGAbz2oHTNA1PS1HuyC7kX-EIeYpxkXMuJJyspFOhHUKlqzeuqe6LdlFgv0n8agsqHijuA7eeLBNet887RhhuX2XEixT2QSSyEzycblWkJoZ8JeEPKhc-DRXoZ6FVQFFJA5MC3UqKHDf_vVu3o7N_kBqB8rAtYAAAA&tenantId=8601
深圳电视剧频道1080,rtsp://183.59.160.61/PLTV/88888895/224/3221227996/10000100000000060000000007005127_0.smil?accountinfo=%7E%7EV2.0%7E-vepNS_NUCa1HSMpdjOZ9g%7EDG9YgNw6cK1gDQ3-hXKPnarr9EtNfUL8qul-aNDqx20swQaWaPoEC-TzStHl7nX8BN1n-uRS7UYBlauZimVWd_U3FSBkDLPC1L-Nwq3K3dc~ExtInfoWNHSPSTb+3AG0FnUkYLPMw%2CEND&GuardEncType=2&tenantId
深圳体育健康1080,rtsp://183.59.160.61/PLTV/88888895/224/3221227465/10000100000000060000000003893559_0.smil?accountinfo=%7E%7EV2.0%7E5HZjx1_nf6eReDE-bGxF0w%7EDG9YgNw6cK1gDQ3-hXKPnarr9EtNfUL8qul-aNDqx20swQaWaPoEC-TzStHl7nX8BN1n-uRS7UYBlauZimVWd_U3FSBkDLPC1L-Nwq3K3dc~ExtInfoWNHSPSTb+3AG0FnUkYLPMw==%3A20210403030623%2C16020325%2C113.118.85.150%2C20210403030623%2C31000100000000050000000000219816%2C1602032520210403030623%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2&tenantId=8601
深圳都市720,http://ye23.win/iptv/sztv.php?id=2
深圳都市720,http://live.cooltv.top/tv/sztv.php?id=2
深圳都市720,http://ye23.win/iptv/sztv.php?id=2?zguangd
无线新闻,http://ye23.win/iptv/tvb.php?id=5
无线新闻,http://ye23.win/iptv/tvb.php?id=4
无线新闻,http://ye23.win/iptv/tvb.php?id=1
无线新闻,http://111.229.84.232/yulin/tvb.php?id=1
无线新闻,https://bcovlive-a.akamaihd.net/38974baa695d47bbb231665ca52b8b3c/us-west-2/5324042807001/95ea73e414b14b7ea6406050a5293f17/playlist_ssaiM.m3u8
无线新闻,https://bcovlive-a.akamaihd.net/38974baa695d47bbb231665ca52b8b3c/us-west-2/5324042807001/playlist.m3u8
无线新闻,http://hls.dszbdq.cn/d/wxtv2.php?id=1
无线财经,http://117.169.120.138:8080/live/fhchinese/index.m3u8
无线财经,http://ye23.win/iptv/tvb.php?id=2
无线财经,http://111.229.84.232/yulin/tvb.php?id=2
翡翠台J1,https://bcovlive-a.akamaihd.net/f23dfe49b06b45d8878b55b4b6909595/us-west-2/5324042807001/4a3bca5b047b4564b18bb12dfa26ba62/playlist_ssaiM.m3u8
TVBJ2 HD,http://120.84.96.43:808/hls/86/index.m3u8
TVBJ2 HD,http://120.84.96.33:808/hls/86/index.m3u8

新马,#genre#
TV1,http://quality-restream.com:8080/linuxapp2021/M3jc66jD9UCnpK9v/286848
TV2,http://quality-restream.com:8080/linuxapp2021/M3jc66jD9UCnpK9v/158355
TV3,http://quality-restream.com:8080/linuxapp2021/M3jc66jD9UCnpK9v/158360
TV3,https://tv.kpsvpn.com/tv3.m3u8
NTV7,https://tv.kpsvpn.com/Ntv7.m3u8
8TV,https://tv.kpsvpn.com/8tv.m3u8
8TV,https://raw.githubusercontent.com/samleong123/tonton_dailymotion_php/main/m3u8/8TV.m3u8
TVS HD,https://agsplayback01.astro.com.my:443/CH1/master_AGS_TVS_04.m3u8
Astro Awani,http://50.7.220.74:8278/Awani/playlist.m3u8?tid=m02000000000010117437&ct=17958&tsum=ffc03caf973a4c8871e4a8a18211b037
Astro AEC,http://50.7.220.74:8278/Aec/playlist.m3u8?tid=m02000000000015394736&ct=17957&tsum=1dcfc710d1e57d6048f64c2e0383ecd3
Astro AEC,http://iptv12k.com:35461/8032022060101/452381/709
Astro 华丽,http://50.7.220.74:8278/Wlt/playlist.m3u8?tid=m02000000000017284058&ct=17957&tsum=72aaa7dbf2a5d6166b065612f3e6c602
Astro 欢喜,http://50.7.220.74:8278/Huahee/playlist.m3u8?tid=m02000000000018660079&ct=17957&tsum=5ce7429a79a9a892208c316c2a8133ee
Astro 双星,http://50.7.220.74:8278/Shuangxing/playlist.m3u8?tid=m02000000000010638087&ct=17957&tsum=16035284df542c2d54efaee5e47bc535
Astro 全佳,http://iptv12k.com:35461/8032022060101/452381/710
中天亚洲,http://quality-restream.com:8080/linuxapp2021/M3jc66jD9UCnpK9v/264515
Astro AOD,http://quality-restream.com:8080/linuxapp2021/M3jc66jD9UCnpK9v/264512
新加坡,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index.m3u8
新加坡5,http://50.7.220.74:8278/Channel5/playlist.m3u8?tid=m19816889fe94&ct=18336&tsum=31ccb230ac02543bd68094ed3aeb0344
新加坡CNA,http://50.7.220.74:8278/cna/playlist.m3u8?tid=m75c258e8db6c&ct=18336&tsum=72391487028dc68a70d050b29c3654ee
新加坡lU,http://50.7.220.74:8278/ChannelU/playlist.m3u8?tid=m014a6e987db6&ct=18336&tsum=fa5cb77a8be6edc061828d231e5769f9
新加坡国际,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
Astro Supersport 1,http://quality-restream.com:8080/linuxapp2021/M3jc66jD9UCnpK9v/146068
Astro Supersport 2,http://quality-restream.com:8080/linuxapp2021/M3jc66jD9UCnpK9v/157556
Astro Supersport 3,http://quality-restream.com:8080/linuxapp2021/M3jc66jD9UCnpK9v/157557
Astro Supersport 4,http://quality-restream.com:8080/linuxapp2021/M3jc66jD9UCnpK9v/157558
Arena 801,http://iptv12k.com:35461/8032022060101/452381/966
Arena 2,http://iptv12k.com:35461/8032022060101/452381/965

台湾,#genre#
民视,http://59.125.101.187:10714/http/192.168.77.24:8081/hls/73/815/ch49.m3u8
民视,http://50.7.220.74:8278/ftvhd_taiwan/playlist.m3u8?tid=15141291&ct=17990&tsum=ab93fcdf581cc3f483e1ceede13312ce
中视,http://59.125.101.187:10747/playlist.m3u8
台视,http://60.251.59.180:8501/http/61.221.81.94:8088/hls/72/814/ch46.m3u8
台视,http://59.125.101.187:10702/http/192.168.77.24:8081/hls/72/814/ch46.m3u8
台视,http://50.7.220.74:8278/ttv_taiwan/playlist.m3u8?tid=mdea1ba75c9e516139101&ct=17874&tsum=95f1742d36f959fe6e241587a4f8e970
华视,http://50.7.220.74:8278/ctshd_twn/playlist.m3u8?tid=m760743cf1f5e&ct=18335&tsum=9b0d2efb292253075aa4ec25cc439b81
华视,http://59.125.101.187:10713/playlist.m3u8
华视,http://59.125.101.187:10713/http/192.168.77.24:8088/hls/72/814/ch48.m3u8
公视,http://50.7.220.74:8278/ctv_taiwan/playlist.m3u8?tid=13765524&ct=17990&tsum=03eb77c1c186944b97737f14e95076c0
公视,http://59.125.101.187:10705/http/192.168.77.24:8081/hls/73/815/ch50.m3u8
TVBS,http://50.7.220.74:8278/tvbs/playlist.m3u8?tid=m0f93590c7a75&ct=18335&tsum=d55d4e5f3a3d424454dbc8d70e3bb1b6
TVBS新闻,http://50.7.220.74:8278/tvbs_n/playlist.m3u8?tid=m4a218f9aa395&ct=18335&tsum=363605ee081cb965cc0385c3f855a7e3
华视新闻,https://ssttvv1.6zxr.xyz/tvbs56/index.m3u8
华视新闻,http://59.125.101.187:10704/http/192.168.77.24:8081/hls/75/817/ch58.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
华视新闻,http://59.125.98.83:8538/playlist.m3u8
中视新闻,http://50.7.220.74:8278/ca73a13c37/playlist.m3u8?tid=mee3f06f682eb&ct=18335&tsum=7491cceca17c1e2af05824583855f8bd
民视新闻,http://59.125.101.187:10704/playlist.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民视新闻,http://50.7.220.74:8278/ftvnew_taiwan/playlist.m3u8?tid=md953ce86cdad16241449&ct=17874&tsum=949d4aace793a001dd41392b210ba406
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
台视综合,http://50.7.220.74:8278/lunghuamovie_twn/playlist.m3u8?tid=mdb73470557ff10965185&ct=17874&tsum=d0a4494eb289910a11f4d305a804136a
年代新闻,http://50.7.220.74:8278/niandainews_twn/playlist.m3u8?tid=m062d2322888417909285&ct=17874&tsum=da6e0908f8df0e85b37f9d93167b9fcd
非凡新闻,http://59.125.101.187:10706/http/192.168.77.24:8081/hls/75/817/ch57.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
非凡新闻,http://50.7.220.74:8278/feifannews_twn/playlist.m3u8?tid=m050e7aad65f614336734&ct=17874&tsum=4ea1b829d195ac69a6c2ca51b21ae378
环宇新闻,http://59.125.101.187:10709/http/192.168.77.24:8081/hls/76/818/ch62.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
环宇新闻,http://59.125.101.187:10709/http/192.168.77.24:8066/hls/210/10016/cstv16.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
寰宇新闻,https://ssttvv1.6zxr.xyz/fhwszw/index.m3u8
壹新闻,http://59.125.101.187:10710/http/192.168.77.24:8081/hls/66/808/ch24.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
中天新闻,http://59.125.101.187:10703/playlist.m3u8
中天新闻,http://60.251.59.180:8504/http/60.251.39.91:8081/hls/78/80/ch63max.m3u8
中天新闻,http://59.125.101.187:10703/http/192.168.77.24:8081/hls/78/80/ch63max.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
中天综合,http://59.125.101.187:10733/http/192.168.77.24:8081/hls/67/809/ch25.m3u8
中天综合,http://50.7.220.74:8278/ctizhonghe/playlist.m3u8?tid=m85005aeec85b14021104&ct=17874&tsum=69f19f4b12ab
中天亚洲,http://50.7.220.74:8278/ctiasia_twn/playlist.m3u8?tid=m02000000000018570617&ct=17982&tsum=41a23593234363b088028585850ccf48
中视经典,http://50.7.220.74:8278/zhongshi_twn/playlist.m3u8?tid=14379667&ct=17988&tsum=de63d02f44741580b5070077d1949841
东森新闻,http://50.7.220.74:8278/ettvnews/playlist.m3u8?tid=m208c21bf386611408694&ct=17874&tsum=d1b4de373c886cd8015974fa8c5d6d12
东森新闻,http://61.222.202.191/gt/gttv.php?id=13635&cid=13787
东森新闻,http://59.125.101.187:10702/playlist.m3u8
东森综合,http://50.7.220.74:8278/ettvzhonghe/playlist.m3u8?tid=m65c4e525f24617101171&ct=17874&tsum=663db593cfeefc92ce4b5d7461988f3f
东森综合,http://59.125.101.187:10771/http/192.168.77.24:8081/hls/63/805/ch12.m3u8
三立新闻,http://59.125.101.187:10756/http/192.168.77.24:8081/hls/65/807/ch18.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
三立综合,http://50.7.220.74:8278/sanlizhonghe/playlist.m3u8?tid=m3362167a08a014596868&ct=17874&tsum=4472a7c943b67bf52fe5e836ca9f3b6b
三立都会,http://59.125.101.187:10732/http/192.168.77.24:8081/hls/65/807/ch19.m3u8
三立台湾,http://59.125.101.187:10731/playlist.m3u8
三立台湾,http://50.7.220.74:8278/sanlitaiwan/playlist.m3u8?tid=m92ccadc4dc3718157816&ct=17874&tsum=3570a8198ca0fb7ebb803807e38b33fb
三立台湾,http://59.125.101.187:10501/playlist.m3u8
年代MUCH,http://59.125.101.187:10775/http/192.168.77.24:8081/hls/64/806/ch15.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
年代MUCH,http://59.125.101.187:10775/playlist.m3u8
年代MUCH,http://59.125.101.187:10701/playlist.m3u8
年代MUCH,http://59.125.101.187:10729/http/192.168.77.24:8081/hls/72/814/ch45.m3u8
东风卫视,http://59.125.101.187:10719/http/192.168.77.24:8081/hls/68/810/ch31.m3u8
半岛新闻,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=litv-ftv10&nid=85
中天新闻,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv009&nid=30
TVBS新闻,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live072&nid=129
东森新闻,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live114&nid=234
中视新闻,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv074&nid=33
民视新闻,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=litv-ftv13&nid=31
镜新闻,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv075&nid=268
中视新闻,http://for40255.sytes.net:8099/tv/iptv/live.php?id=zsxw
中视新闻,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv074&nid=33
华视新闻,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv052&nid=34
TVBS新闻,http://for40255.sytes.net:8099/tv/iptv/live.php?id=55tvbs
东森新闻,http://for40255.sytes.net:8099/tv/iptv/live.php?id=dsxw
东森新闻,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live114&nid=234
民视新闻,http://for40255.sytes.net:8099/tv/iptv/live.php?id=msxw
台视新闻,http://for40255.sytes.net:8099/tv/iptv/live.php?id=tsxw
中天新闻,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv009&nid=30
中天新闻,http://for40255.sytes.net:8099/tv/iptv/live.php?id=ztxw
三立新闻,http://for40255.sytes.net:8099/tv/iptv/live.php?id=slxw
鏡新闻,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv075&nid=268
寰宇新闻,http://for40255.sytes.net:8099/tv/iptv/live.php?id=hyxw
TVBS新闻,http://for40255.sytes.net:8099/tv/iptv/live.php?id=55tvbs
中视,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv040&nid=4
华视,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv041&nid=6
三立綜合,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live207&nid=169
三立iNEWS,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-live089&nid=229#http://for40255.sytes.net:8099/tv/iptv/live.php?id=slxwinews
三立LIVE,http://for40255.sytes.net:8099/tv/iptv/live.php?id=slxw
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
东森美洲,http://38.64.72.148:80/hls/modn/list/2026/chunklist0.m3u8
TVBS HD,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
民视,http://seb.sason.top/ptv/ftv.php?id=ms
东森新闻,http://seb.sason.top/sc/dsxw_fhd.m3u8
台视新闻,http://seb.sason.top/sc/tsxw_fhd.m3u8
中天新闻,http://seb.sason.top/sc/ztxw_fhd.m3u8
三立新闻,http://seb.sason.top/sc/slinews_fhd.m3u8
三立LIVE,http://seb.sason.top/sc/sllive_fhd.m3u8
三立iNEWS,http://seb.sason.top/sc/slinews_fhd.m3u8
民视第一台,http://seb.sason.top/ptv/ftv.php?id=dy
民视台湾台,http://seb.sason.top/ptv/ftv.php?id=tw
民视综艺台,http://seb.sason.top/ptv/ftv.php?id=zy
民视影剧,http://seb.sason.top/ptv/ftv.php?id=yj
民视旅游,http://seb.sason.top/ptv/ftv.php?id=ly
一新闻台,http://stream.nexttv.com.tw/n001/hd/live.m3u8#http://stream.nexttv.com.tw/n001/playlist.m3u8#http://stream.nexttv.com.tw/n001/hd/live.m3u8
民视,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv002&nid=3
民视台灣,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv001&nid=2
民视影劇,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=litv-ftv09&nid=24
民视新闻,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=litv-ftv13&nid=31
民视旅遊,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=litv-ftv07&nid=61
民视第一,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv003&nid=1
民视綜藝,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv004&nid=16
靖天综合,https://wabc.ml/hlk.php?id=86
靖天资讯,https://wabc.ml/hlk.php?id=118
靖天育乐,https://wabc.ml/hlk.php?id=100
靖天映画,https://wabc.ml/hlk.php?id=114
靖天戏剧,https://wabc.ml/hlk.php?id=106
靖天日本,https://wabc.ml/hlk.php?id=224
靖天卡通,https://wabc.ml/hlk.php?id=104
靖天欢乐,https://wabc.ml/hlk.php?id=107
靖天国际,https://wabc.ml/hlk.php?id=155
亚洲旅游,https://wabc.ml/hlk.php?id=119
亚州综合,https://wabc.ml/hlk.php?id=138
星空卫视,https://wabc.ml/hlk.php?id=1763
台湾戏剧,https://wabc.ml/hlk.php?id=233
半島國際新聞,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=litv-ftv10&nid=85
阿里郎頻道,http://for40255.sytes.net:8099/tv/iptv/live_4gtv.php?vid=4gtv-4gtv079&nid=189
NHK,https://nhkw-zh-hlscomp.akamaized.net/8thz5iufork8wjip/playlist.m3u8?zshijd
亚洲新聞台,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
CNN,https://cnn-cnninternational-1-gb.samsung.wurl.com/manifest/playlist_1280x720_3000k.m3u8
CNA,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd
民视,http://eth.tv6868.com/live/98aadb37083eddd855c27feccb15dc8c5b127fd0/297b2d906811247614a31da270e19aa6/2/bba1cd9a-b72b-4d29-a545-384d7de01cf7.m3u8
中视,http://eth.tv6868.com/live/98aadb37083eddd855c27feccb15dc8c5b127fd0/297b2d906811247614a31da270e19aa6/2/2cc71359-2456-443d-8ddc-d9cf86fd8f39.m3u8
三立臺灣,http://eth.tv6868.com/live/98aadb37083eddd855c27feccb15dc8c5b127fd0/297b2d906811247614a31da270e19aa6/2/ab7c868d-3788-4bfa-8352-930399e5c78a.m3u8
三立綜合,http://eth.tv6868.com/live/98aadb37083eddd855c27feccb15dc8c5b127fd0/297b2d906811247614a31da270e19aa6/2/95db1e0a-0eee-423f-a8e4-b05fef9c21c8.m3u8
中视新闻,http://eth.tv6868.com/live/98aadb37083eddd855c27feccb15dc8c5b127fd0/297b2d906811247614a31da270e19aa6/2/2cfe8d82-fcaf-4931-95ed-655d60426101.m3u8
民视新闻,http://eth.tv6868.com/live/98aadb37083eddd855c27feccb15dc8c5b127fd0/297b2d906811247614a31da270e19aa6/2/17cd8809-c459-45c1-a1d0-c075645862d2.m3u8
台视,http://eth.tv6868.com/live/98aadb37083eddd855c27feccb15dc8c5b127fd0/297b2d906811247614a31da270e19aa6/2/fa9c215a-4fbe-48c8-8264-42a72ab6e2b4.m3u8
台视新闻,http://eth.tv6868.com/live/98aadb37083eddd855c27feccb15dc8c5b127fd0/297b2d906811247614a31da270e19aa6/2/8153b94d-cbd9-49e8-a105-45a5fed98f84.m3u8
华視,http://eth.tv6868.com/live/98aadb37083eddd855c27feccb15dc8c5b127fd0/297b2d906811247614a31da270e19aa6/2/9e556711-5918-49ec-bdc9-1837e9f4bc48.m3u8
年代新闻,http://eth.tv6868.com/live/98aadb37083eddd855c27feccb15dc8c5b127fd0/297b2d906811247614a31da270e19aa6/2/43e5a720-a239-4f03-9727-711f55e88e89.m3u8
非凡新闻,http://eth.tv6868.com/live/98aadb37083eddd855c27feccb15dc8c5b127fd0/297b2d906811247614a31da270e19aa6/2/253c4f77-5b43-4793-a186-dd8b88edc903.m3u8
东森新闻,http://eth.tv6868.com/live/98aadb37083eddd855c27feccb15dc8c5b127fd0/297b2d906811247614a31da270e19aa6/2/451f0cdd-b2a7-4f08-85d9-d786b6b3423a.m3u8
中天新闻,http://eth.tv6868.com/live/98aadb37083eddd855c27feccb15dc8c5b127fd0/297b2d906811247614a31da270e19aa6/2/9ece40f1-712e-43c8-9639-018c38d088ba.m3u8
中天综合,http://eth.tv6868.com/live/98aadb37083eddd855c27feccb15dc8c5b127fd0/297b2d906811247614a31da270e19aa6/2/4026260e-ec58-4e70-9083-7b632257880b.m3u8
中天亞洲,http://eth.tv6868.com/live/98aadb37083eddd855c27feccb15dc8c5b127fd0/297b2d906811247614a31da270e19aa6/2/86367931-34f8-4aa6-acb0-8fa4d577ae11.m3u8
中天娱乐,http://eth.tv6868.com/live/98aadb37083eddd855c27feccb15dc8c5b127fd0/297b2d906811247614a31da270e19aa6/2/308d8d9f-38ec-498c-a0f9-127127f03e78.m3u8
TVBS新闻,http://eth.tv6868.com/live/98aadb37083eddd855c27feccb15dc8c5b127fd0/297b2d906811247614a31da270e19aa6/2/c772bec8-0cf3-4f31-b9b4-86511166bc99.m3u8
TVBS新闻台,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
TVBS新闻台,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
TVBSG,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
中天新闻,http://209.141.56.65:80/gtiptv/gtiptv.php?tid=gt&id=53
TVBS新闻,http://209.141.56.65:80/gtiptv/gtiptv.php?tid=gt&id=54
东森新闻,http://209.141.56.65:80/gtiptv/gtiptv.php?tid=gt&id=55
三立新闻,http://209.141.56.65:80/gtiptv/gtiptv.php?tid=gt&id=57
壹电视新闻,http://209.141.56.65:80/gtiptv/gtiptv.php?tid=gt&id=58
中视新闻,http://209.141.56.65:80/gtiptv/gtiptv.php?tid=gt&id=60
寰宇新闻,http://209.141.56.65:80/gtiptv/gtiptv.php?tid=gt&id=63
中视,http://209.141.56.65:80/gtiptv/gtiptv.php?tid=gt&id=82
台视,http://209.141.56.65:80/gtiptv/gtiptv.php?tid=gt&id=83
民视,http://209.141.56.65:80/gtiptv/gtiptv.php?tid=gt&id=84
华视,http://209.141.56.65:80/gtiptv/gtiptv.php?tid=gt&id=86
TVBS,http://209.141.56.65:80/gtiptv/gtiptv.php?tid=gt&id=95
TVBS欢乐台,http://209.141.56.65:80/gtiptv/gtiptv.php?tid=gt&id=97
民视台湾台,http://209.141.56.65:80/gtiptv/gtiptv.php?tid=gt&id=99


香港,#genre#
凤凰卫视,http://quality-restream.com:8080/linuxapp2021/M3jc66jD9UCnpK9v/264509
凤凰卫视,http://50.7.220.74:8278/phoenixtv_hd/playlist.m3u8?tid=m02000000000012301168&ct=18001&tsum=d0f3fc4a36a32e3f2c3d895bb932d170
凤凰卫视,http://50.7.220.74:8278/phoenixtv_hd/playlist.m3u8?tid=m02000000000012301168&ct=18001&tsum=d0f3fc4a36a32e3f2c3d895bb932d170
凤凰卫视,http://117.169.120.138:8080/live/fhchinese/.m3u8
凤凰卫视,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHze-C6IgcRwozk4eW0CGKnEqc
凤凰卫视,http://50.7.220.74:8278/phoenixtv_hd/playlist.m3u8?tid=m18f421b0e58b&ct=18336&tsum=8e0cca627477cbd534c9cef5e2c17c1c
凤凰卫视,http://117.169.120.138:8080/live/fhchinese/index.m3u8
凤凰香港,http://198.204.239.194:27347/livehlsplay?channel_id=30016
凤凰香港,http://183.207.249.35/PLTV/3/224/3221226975/index.m3u8?nsukey=z%2BBfKGEFyh4Fp0aB8zX65Hk%2FyuGRu%2Fcr4cTxr%2Bmmk%2BoDb%2F0zWYZbCxCPjv1Rv3gbKAFnEGidkItbbNfxHvbIQE3YCs8%2B6yymajONrpRyKCPjCYyxRhJg5hMneBwbsvWsOzUhH18%2By1JBzCS0%2Fq2vam7rkPILohuX3UVdt4Gey9FetDXUW5Ck5N4QX2N3QhKrr9Kh%2FuYotUicOdfnQ675Fg%3D%
凤凰香港,http://183.207.249.35/PLTV/3/224/3221226975/index.m3u8?nsukey=z%2BBfKGEFyh4Fp0aB8zX65Hk%2FyuGRu%2Fcr4cTxr%2Bmmk%2BoDb%2F0zWYZbCxCPjv1Rv3gbKAFnEGidkItbbNfxHvbIQE3YCs8%2B6yymajONrpRyKCPjCYyxRhJg5hMneBwbsvWsOzUhH18%2By1JBzCS0%2Fq2vam7rkPILohuX3UVdt4Gey9FetDXUW5Ck5N4QX2N3QhKrr9Kh%2FuYotUicOdfnQ675Fg%3D%3D
凤凰香港,http://test.crtvhstv.xyz:80/play/5iVToWZi9rVAYQQsYXHzeye785m1oylb49vvydnP6RY
